loja;caiu;voltou;tempo
"CENTRAL AGUIAR";"01/04/2024 13:06:17";"01/04/2024 13:06:47";0
"CENTRAL AGUIAR";"01/04/2024 13:10:17";"01/04/2024 13:10:47";0
"CENTRAL AGUIAR";"01/04/2024 13:14:17";"01/04/2024 13:14:47";0
"CENTRAL AGUIAR";"01/04/2024 13:18:17";"01/04/2024 13:18:47";0
"CENTRAL AGUIAR";"01/04/2024 13:22:17";"01/04/2024 13:22:47";0
"CENTRAL AGUIAR";"01/04/2024 13:26:17";"01/04/2024 13:26:47";0
"CENTRAL AGUIAR";"01/04/2024 13:29:17";"01/04/2024 13:29:48";0
"CENTRAL AGUIAR";"01/04/2024 13:30:18";"01/04/2024 13:30:49";0
"CENTRAL AGUIAR";"01/04/2024 13:34:17";"01/04/2024 13:34:47";0
"CENTRAL AGUIAR";"01/04/2024 13:38:17";"01/04/2024 13:38:47";0
"CENTRAL AGUIAR";"01/04/2024 13:42:18";"01/04/2024 13:42:48";0
"CENTRAL AGUIAR";"01/04/2024 13:43:47";"01/04/2024 13:44:17";1
"CENTRAL AGUIAR";"01/04/2024 13:47:18";"01/04/2024 13:47:48";0
"CENTRAL AGUIAR";"01/04/2024 13:51:18";"01/04/2024 13:51:48";0
"CENTRAL AGUIAR";"01/04/2024 13:55:18";"01/04/2024 13:55:48";0
"CENTRAL AGUIAR";"01/04/2024 13:59:19";"01/04/2024 13:59:49";0
"CENTRAL AGUIAR";"01/04/2024 14:03:18";"01/04/2024 14:03:48";0
"CENTRAL AGUIAR";"01/04/2024 14:07:18";"01/04/2024 14:07:48";0
"CENTRAL AGUIAR";"01/04/2024 14:11:18";"01/04/2024 14:11:48";0
"CENTRAL AGUIAR";"01/04/2024 14:15:18";"01/04/2024 14:15:48";0
"CENTRAL AGUIAR";"01/04/2024 14:19:18";"01/04/2024 14:19:48";0
"CENTRAL AGUIAR";"01/04/2024 14:23:18";"01/04/2024 14:23:48";0
"CENTRAL AGUIAR";"01/04/2024 14:27:18";"01/04/2024 14:27:48";0
"CENTRAL AGUIAR";"01/04/2024 14:31:19";"01/04/2024 14:31:49";0
"CENTRAL AGUIAR";"01/04/2024 14:35:19";"01/04/2024 14:35:49";0
"CENTRAL AGUIAR";"01/04/2024 14:39:19";"01/04/2024 14:39:49";0
"CENTRAL AGUIAR";"01/04/2024 14:43:19";"01/04/2024 14:43:49";0
"CENTRAL AGUIAR";"01/04/2024 14:44:49";"01/04/2024 14:45:19";1
"CENTRAL AGUIAR";"01/04/2024 14:47:19";"01/04/2024 14:47:49";0
"CENTRAL AGUIAR";"01/04/2024 14:51:19";"01/04/2024 14:51:49";0
"CENTRAL AGUIAR";"01/04/2024 14:55:19";"01/04/2024 14:55:49";0
"CENTRAL AGUIAR";"01/04/2024 14:59:19";"01/04/2024 14:59:49";0
"CENTRAL AGUIAR";"01/04/2024 15:03:19";"01/04/2024 15:03:49";0
"CENTRAL AGUIAR";"01/04/2024 15:08:19";"01/04/2024 15:08:49";0
